,index,lat,long,date,time
392,3755,42.7737131,-78.78690321060253,2018-09-16,13:00
393,1636,38.90768745,-76.8644868591675,2018-09-16,13:00
394,585,44.500988500000005,-88.06102055468037,2018-09-16,13:00
395,3786,34.0139923,-118.28802864848308,2018-09-16,16:05
396,260,39.0954645,-84.5160488350198,2018-09-13,20:20
397,3106,37.751675000000006,-122.19937132239198,2018-09-10,22:20
398,3469,39.743952,-105.01922281236835,2018-09-09,16:25
399,584,44.500988500000005,-88.06102055468037,2018-09-09,20:20
400,2187,42.091252600000004,-71.2644646105907,2018-09-09,13:00
401,3374,40.81350705,-74.07434417766939,2018-09-09,13:00
402,3847,41.8845767,-87.651809,2018-09-09,16:05
403,3632,41.5060559,-81.69971184525946,2018-09-09,13:00
404,3817,25.95790315,-80.23884973967523,2018-09-09,13:00
405,2540,39.2779664,-76.62380930835468,2018-09-09,13:00
406,2675,35.2257363,-80.85388172071353,2018-09-09,16:25
407,2399,39.9009099,-75.16748915605905,2018-09-06,20:20
408,2398,39.9009099,-75.16748915605905,2018-01-21,18:41
409,2186,42.091252600000004,-71.2644646105907,2018-01-21,15:05
410,1827,40.44671645,-80.01575493349428,2018-01-14,13:05
411,2397,39.9009099,-75.16748915605905,2018-01-13,16:35
412,2185,42.091252600000004,-71.2644646105907,2018-01-13,20:15
413,3178,30.32398105,-81.63730457034035,2018-01-07,13:05
414,788,39.04894045,-94.48300340048719,2018-01-06,16:36
415,3785,34.0139923,-118.28802864848308,2018-01-06,20:15
416,3784,34.0139923,-118.28802864848308,2017-12-31,16:25
417,3722,36.16649655,-86.77126444208471,2017-12-31,16:25
418,3816,25.95790315,-80.23884973967523,2017-12-31,16:25
419,3468,39.743952,-105.01922281236835,2017-12-31,16:25
420,2184,42.091252600000004,-71.2644646105907,2017-12-31,13:00
421,2396,39.9009099,-75.16748915605905,2017-12-31,13:00
422,2539,39.2779664,-76.62380930835468,2017-12-31,16:25
423,3373,40.81350705,-74.07434417766939,2017-12-31,13:00
424,1981,27.97597925,-82.50421799673616,2017-12-31,16:25
425,1826,40.44671645,-80.01575493349428,2017-12-31,13:00
426,3846,41.8845767,-87.651809,2017-12-31,16:25
427,3576,47.5953459,-122.33164431196111,2017-12-31,16:25
428,2395,39.9009099,-75.16748915605905,2017-12-25,20:30
429,259,39.0954645,-84.5160488350198,2017-12-24,13:00
430,787,39.04894045,-94.48300340048719,2017-12-24,13:00
431,1365,41.86245145,-87.61671514704074,2017-12-24,13:00
432,3721,36.16649655,-86.77126444208471,2017-12-24,13:00
433,1635,38.90768745,-76.8644868591675,2017-12-24,13:00
434,2674,35.2257363,-80.85388172071353,2017-12-24,13:00
435,2183,42.091252600000004,-71.2644646105907,2017-12-24,13:00
436,3680,37.40303995,-121.96968170505542,2017-12-24,16:05
437,3372,40.81350705,-74.07434417766939,2017-12-24,13:00
438,583,44.500988500000005,-88.06102055468037,2017-12-23,20:30
439,2538,39.2779664,-76.62380930835468,2017-12-23,16:30
440,1980,27.97597925,-82.50421799673616,2017-12-18,20:30
441,3754,42.7737131,-78.78690321060253,2017-12-17,13:00
442,3105,37.751675000000006,-122.19937132239198,2017-12-17,20:30
443,3371,40.81350705,-74.07434417766939,2017-12-17,13:00
444,3575,47.5953459,-122.33164431196111,2017-12-17,16:05
445,3631,41.5060559,-81.69971184525946,2017-12-17,13:00
446,2673,35.2257363,-80.85388172071353,2017-12-17,13:00
447,1825,40.44671645,-80.01575493349428,2017-12-17,16:25
448,3177,30.32398105,-81.63730457034035,2017-12-17,13:00
449,3679,37.40303995,-121.96968170505542,2017-12-17,16:25
